timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742003733732,192,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-53,,true,,4081,971,15,24,null,0,2059,0
1742003735791,192,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-53,text,true,,4081,971,15,24,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,192,0,0
1742003735320,770,02_01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-24,,true,,5664,529,7,24,null,0,1,575
1742003735321,770,02_01_OpenURL,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-24,text,true,,5664,529,7,24,https://petstore.octoperf.com/actions/Catalog.action,769,0,575
1742003735158,967,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-48,,true,,7116,988,15,24,null,0,3,572
1742003735159,773,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-48,text,true,,1452,459,15,24,https://petstore.octoperf.com/,771,0,572
1742003735933,194,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-48,text,true,,5664,529,15,24,https://petstore.octoperf.com/actions/Catalog.action,191,0,0
1742003733943,188,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,,true,,3441,971,16,25,null,0,2080,0
1742003736023,188,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,text,true,,3441,971,16,25,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,188,0,0
1742003731086,194,02_02_Click on Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-29,,true,,4212,634,7,25,null,0,5020,0
1742003736107,194,02_02_Click on Category,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-29,text,true,,4212,634,7,25,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,190,0,0
1742003735420,964,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-54,,true,,6438,1094,16,26,null,0,1,573
1742003735421,759,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-54,text,true,,1452,512,16,25,https://petstore.octoperf.com/,759,0,573
1742003736180,205,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-54,text,true,,4986,582,16,26,https://petstore.octoperf.com/actions/Catalog.action,200,0,0
1742003735509,970,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,,true,,6442,1094,16,26,null,0,3,583
1742003735510,778,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,text,true,,1452,512,16,25,https://petstore.octoperf.com/,778,0,583
1742003736289,192,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,text,true,,4990,582,16,26,https://petstore.octoperf.com/actions/Catalog.action,192,0,0
1742003734220,204,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-52,,true,,3441,971,16,26,null,0,2082,0
1742003736301,204,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-52,text,true,,3441,971,16,26,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,204,0,0
1742003735843,793,03-01-open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario3- Add to cart- jp@gc - Ultimate Thread Group 3-7,,true,,5664,529,2,27,null,0,2,593
1742003735844,793,03-01-01-open URL,200,,Scenario3- Add to cart- jp@gc - Ultimate Thread Group 3-7,text,true,,5664,529,2,27,https://petstore.octoperf.com/actions/Catalog.action,791,0,593
1742003735648,1007,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-47,,true,,7116,988,17,27,null,0,3,587
1742003735649,808,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-47,text,true,,1452,459,16,26,https://petstore.octoperf.com/,808,0,587
